fips,year,month,total_deaths,sex_1,sex_2
11010,2021,3,5,5,0
11010,2021,4,7,5,2
11010,2021,5,2,1,1
11010,2021,6,2,1,1
11010,2021,7,3,2,1
11010,2021,8,4,2,2
11010,2021,9,1,0,1
11010,2021,10,1,1,0
11010,2021,11,2,2,0
11010,2021,12,1,1,0
11010,2022,1,4,1,3
11010,2022,2,1,0,1
11010,2022,3,1,1,0
11010,2022,4,3,1,2
11010,2022,5,2,0,2
11010,2022,7,4,3,1
11010,2022,8,1,1,0
11010,2022,9,3,2,1
11010,2022,10,3,2,1
11010,2022,11,6,4,2
11010,2022,12,3,3,0
11010,2023,1,5,3,2
11010,2023,2,3,1,2
11010,2023,3,1,1,0
11010,2023,4,2,1,1
11010,2023,5,5,3,2
11010,2023,6,2,0,2
11010,2023,7,2,2,0
11010,2023,8,3,1,2
11010,2023,9,2,0,2
11010,2023,10,6,5,1
11010,2023,11,2,2,0
11010,2023,12,1,1,0
11010,2024,1,5,4,1
11010,2024,2,4,2,2
11010,2024,3,3,2,1
11010,2024,4,1,0,1
11010,2024,5,5,3,2
11010,2024,6,1,1,0
11010,2024,7,5,3,2
11010,2024,8,3,3,0
11010,2024,9,2,1,1
11010,2024,10,4,3,1
11010,2024,11,1,1,0
11010,2024,12,6,2,4
11020,1997,2,1,1,0
11020,1997,4,2,1,1
11020,1997,5,2,2,0
11020,1997,7,1,1,0
11020,1997,8,1,1,0
11020,1997,9,1,1,0
11020,1997,10,5,4,1
11020,1998,1,1,1,0
11020,1998,2,1,0,1
11020,1998,3,6,6,0
11020,1998,4,2,2,0
11020,1998,6,3,2,1
11020,1998,7,1,1,0
11020,1998,8,2,1,1
11020,1998,9,3,3,0
11020,1998,10,3,2,1
11020,1998,12,1,0,1
11020,1999,1,1,1,0
11020,1999,2,1,1,0
11020,1999,3,3,3,0
11020,1999,4,2,1,1
11020,1999,5,1,1,0
11020,1999,7,1,1,0
11020,1999,8,1,1,0
11020,1999,10,2,1,1
11020,1999,12,1,0,1
11020,2000,2,3,3,0
11020,2000,3,1,0,1
11020,2000,4,2,1,1
11020,2000,5,2,2,0
11020,2000,6,1,0,1
11020,2000,9,3,2,1
11020,2000,10,2,0,2
11020,2000,11,2,1,1
11020,2000,12,2,1,1
11020,2001,1,1,0,1
11020,2001,2,2,1,1
11020,2001,4,2,1,1
11020,2001,5,2,1,1
11020,2001,6,2,0,2
11020,2001,9,1,1,0
11020,2001,10,4,2,2
11020,2001,11,1,1,0
